Date,SeasonTag,HomeTeam,AwayTeam,Opponent,IsHome,FTHG,FTAG,ChelseaGoals,OppGoals,FTR,Target,Points,FormPoints_5,GoalsFor_5,GoalsAgainst_5,GoalDiff_5,WinRate_5,B365H,B365D,B365A,Odds_Win,Odds_Draw,Odds_Loss,ImpP_Win,ImpP_Draw,ImpP_Loss,Overround,LogOdds_Win,LogOdds_Draw,LogOdds_Loss
2019-04-22,E0,Chelsea,Burnley,Burnley,1,2,2,2,2,D,Draw,1,9.0,7.0,5.0,2.0,0.6,1.25,6.25,15.0,1.25,6.25,15.0,0.7792207792207791,0.1558441558441558,0.06493506493506493,1.0266666666666668,0.22314355131420976,1.8325814637483102,2.70805020110221
2019-04-28,E0,Man United,Chelsea,Man United,0,1,1,1,1,D,Draw,1,10.0,9.0,5.0,4.0,0.6,2.7,3.5,2.7,2.7,3.5,2.7,0.3608247422680412,0.2783505154639175,0.3608247422680412,1.0264550264550265,0.9932517730102834,1.252762968495368,0.9932517730102834
2019-05-05,E0,Chelsea,Watford,Watford,1,3,0,3,0,H,Win,3,8.0,8.0,5.0,3.0,0.4,1.4,5.25,8.0,1.4,5.25,8.0,0.6936416184971099,0.18497109826589597,0.12138728323699423,1.0297619047619047,0.3364722366212129,1.6582280766035324,2.0794415416798357
2019-05-12,E0,Leicester,Chelsea,Leicester,0,0,0,0,0,D,Draw,1,8.0,8.0,5.0,3.0,0.4,2.4,3.75,2.9,2.9,3.75,2.4,0.3353828954723309,0.25936277249860257,0.4052543320290665,1.02816091954023,1.0647107369924282,1.3217558399823195,0.8754687373538999
2019-08-11,E0 (1),Man United,Chelsea,Man United,0,4,0,0,4,H,Loss,0,6.0,6.0,5.0,1.0,0.2,2.1,3.3,3.5,3.5,3.3,2.1,0.26829268292682923,0.2845528455284553,0.4471544715447154,1.064935064935065,1.252762968495368,1.1939224684724346,0.7419373447293773
2019-08-18,E0 (1),Chelsea,Leicester,Leicester,1,1,1,1,1,D,Draw,1,6.0,6.0,7.0,-1.0,0.2,1.7,3.75,5.0,1.7,3.75,5.0,0.5576208178438662,0.2527881040892193,0.1895910780669145,1.0549019607843138,0.5306282510621704,1.3217558399823195,1.6094379124341003
2019-08-24,E0 (1),Norwich,Chelsea,Norwich,0,2,3,3,2,A,Win,3,6.0,5.0,6.0,-1.0,0.2,4.33,3.75,1.8,1.8,3.75,4.33,0.5275084060230983,0.25320403489108717,0.21928755908581452,1.0531691044393123,0.5877866649021191,1.3217558399823195,1.4655675420143985
2019-08-31,E0 (1),Chelsea,Sheffield United,Sheffield United,1,2,2,2,2,D,Draw,1,8.0,7.0,7.0,0.0,0.4,1.36,4.75,9.0,1.36,4.75,9.0,0.6956875508543532,0.19918633034987795,0.10512611879576893,1.0569315445476435,0.3074846997479607,1.55814461804655,2.1972245773362196
2019-09-14,E0 (1),Wolves,Chelsea,Wolves,0,2,5,5,2,A,Win,3,6.0,6.0,9.0,-3.0,0.2,2.9,3.3,2.5,2.5,3.3,2.9,0.38173115277223774,0.2891902672516952,0.329078579976067,1.0478578892371997,0.9162907318741551,1.1939224684724346,1.0647107369924282
2019-09-22,E0 (1),Chelsea,Liverpool,Liverpool,1,1,2,1,2,A,Loss,0,8.0,11.0,11.0,0.0,0.4,3.5,3.75,2.0,3.5,3.75,2.0,0.27149321266968324,0.25339366515837103,0.4751131221719457,1.0523809523809524,1.252762968495368,1.3217558399823195,0.6931471805599453
2019-09-28,E0 (1),Chelsea,Brighton,Brighton,1,2,0,2,0,H,Win,3,8.0,12.0,9.0,3.0,0.4,1.4,4.75,8.0,1.4,4.75,8.0,0.6803939122649956,0.20053715308863027,0.11906893464637423,1.0498120300751879,0.3364722366212129,1.55814461804655,2.0794415416798357
2019-10-06,E0 (1),Southampton,Chelsea,Southampton,0,1,4,4,1,A,Win,3,10.0,13.0,8.0,5.0,0.6,4.0,3.8,1.85,1.85,3.8,4.0,0.5129935875801552,0.24974687816402294,0.2372595342558218,1.0536984352773826,0.6151856390902335,1.33500106673234,1.3862943611198906
2019-10-19,E0 (1),Chelsea,Newcastle,Newcastle,1,1,0,1,0,H,Win,3,10.0,14.0,7.0,7.0,0.6,1.3,5.5,10.0,1.3,5.5,10.0,0.7318695941450432,0.17298735861610112,0.09514304723885562,1.0510489510489511,0.26236426446749106,1.7047480922384253,2.302585092994046
2019-10-26,E0 (1),Burnley,Chelsea,Burnley,0,2,4,4,2,A,Win,3,12.0,13.0,5.0,8.0,0.8,4.5,4.0,1.72,1.72,4.0,4.5,0.5518087063151441,0.23727774371551194,0.21091354996934394,1.0536175710594315,0.5423242908253617,1.3862943611198906,1.5040773967762742
2019-11-02,E0 (1),Watford,Chelsea,Watford,0,1,2,2,1,A,Win,3,12.0,12.0,5.0,7.0,0.8,5.0,4.33,1.61,1.61,4.33,5.0,0.5903799428981247,0.21951771548867918,0.1901023416131962,1.0520648946394502,0.4762341789963717,1.4655675420143985,1.6094379124341003
2019-11-09,E0 (1),Chelsea,Crystal Palace,Crystal Palace,1,2,0,2,0,H,Win,3,15.0,13.0,4.0,9.0,1.0,1.33,5.0,10.0,1.33,5.0,10.0,0.7147962830593281,0.1901358112937813,0.09506790564689065,1.0518796992481203,0.28517894223366247,1.6094379124341003,2.302585092994046
2019-11-23,E0 (1),Man City,Chelsea,Man City,0,2,1,1,2,H,Loss,0,15.0,13.0,4.0,9.0,1.0,1.44,5.0,6.5,6.5,5.0,1.44,0.14675907052588666,0.19078679168365267,0.6624541377904606,1.0482905982905983,1.8718021769015913,1.6094379124341003,0.36464311358790924
2019-11-30,E0 (1),Chelsea,West Ham,West Ham,1,0,1,0,1,A,Loss,0,12.0,10.0,5.0,5.0,0.8,1.28,6.0,9.0,1.28,6.0,9.0,0.7377049180327869,0.15737704918032788,0.10491803278688525,1.0590277777777777,0.2468600779315258,1.791759469228055,2.1972245773362196
2019-12-04,E0 (1),Chelsea,Aston Villa,Aston Villa,1,2,1,2,1,H,Win,3,9.0,9.0,6.0,3.0,0.6,1.28,5.75,10.0,1.28,5.75,10.0,0.7404069018799897,0.16482101467937163,0.09477208344063869,1.0551630434782608,0.2468600779315258,1.749199854809259,2.302585092994046
2019-12-07,E0 (1),Everton,Chelsea,Everton,0,3,1,1,3,H,Loss,0,9.0,7.0,5.0,2.0,0.6,3.5,3.75,2.0,2.0,3.75,3.5,0.4751131221719458,0.2533936651583711,0.2714932126696833,1.0523809523809522,0.6931471805599453,1.3217558399823195,1.252762968495368
2019-12-14,E0 (1),Chelsea,Bournemouth,Bournemouth,1,0,1,0,1,A,Loss,0,6.0,6.0,7.0,-1.0,0.4,1.25,6.0,12.0,1.25,6.0,12.0,0.7619047619047619,0.15873015873015872,0.07936507936507936,1.05,0.22314355131420976,1.791759469228055,2.4849066497880004
2019-12-22,E0 (1),Tottenham,Chelsea,Tottenham,0,0,2,2,0,A,Win,3,3.0,4.0,8.0,-4.0,0.2,2.37,3.75,2.75,2.75,3.75,2.37,0.3455818022747157,0.25342665500145817,0.40099154272382614,1.0522439585730725,1.0116009116784799,1.3217558399823195,0.8628899551470398
2019-12-26,E0 (1),Chelsea,Southampton,Southampton,1,0,2,0,2,A,Loss,0,6.0,5.0,6.0,-1.0,0.4,1.33,5.25,9.0,1.33,5.25,9.0,0.7137192704203014,0.18080888183980967,0.10547184773988898,1.0534670008354219,0.28517894223366247,1.6582280766035324,2.1972245773362196
2019-12-29,E0 (1),Arsenal,Chelsea,Arsenal,0,1,2,2,1,A,Win,3,6.0,5.0,7.0,-2.0,0.4,2.87,3.75,2.3,2.3,3.75,2.87,0.41412547857706294,0.2539969601939319,0.3318775612290051,1.0498813311114479,0.8329091229351039,1.3217558399823195,1.0543120297715298
2020-01-01,E0 (1),Brighton,Chelsea,Brighton,0,1,1,1,1,D,Draw,1,6.0,5.0,7.0,-2.0,0.4,3.6,3.6,1.95,1.95,3.6,3.6,0.48,0.25999999999999995,0.25999999999999995,1.0683760683760686,0.6678293725756554,1.2809338454620642,1.2809338454620642
2020-01-11,E0 (1),Chelsea,Burnley,Burnley,1,3,0,3,0,H,Win,3,7.0,5.0,5.0,0.0,0.4,1.28,5.5,11.0,1.28,5.5,11.0,0.7412398921832885,0.1725067385444744,0.0862533692722372,1.0539772727272727,0.2468600779315258,1.7047480922384253,2.3978952727983707
2020-01-18,E0 (1),Newcastle,Chelsea,Newcastle,0,1,0,0,1,H,Loss,0,10.0,8.0,4.0,4.0,0.6,6.0,4.5,1.5,1.5,4.5,6.0,0.631578947368421,0.21052631578947367,0.15789473684210525,1.0555555555555556,0.4054651081081644,1.5040773967762742,1.791759469228055
2020-01-21,E0 (1),Chelsea,Arsenal,Arsenal,1,2,2,2,2,D,Draw,1,7.0,6.0,5.0,1.0,0.4,1.72,3.9,4.5,1.72,3.9,4.5,0.5484717794862178,0.24189011813238326,0.2096381023813988,1.0600278274696882,0.5423242908253617,1.3609765531356006,1.5040773967762742
2020-02-01,E0 (1),Leicester,Chelsea,Leicester,0,2,2,2,2,D,Draw,1,8.0,8.0,5.0,3.0,0.4,2.5,3.6,2.7,2.7,3.6,2.5,0.3533568904593639,0.26501766784452296,0.38162544169611307,1.0481481481481483,0.9932517730102834,1.2809338454620642,0.9162907318741551
2020-02-17,E0 (1),Chelsea,Man United,Man United,1,0,2,0,2,A,Loss,0,6.0,8.0,6.0,2.0,0.2,1.85,3.5,4.5,1.85,3.5,4.5,0.5155482815057284,0.27250409165302786,0.2119476268412439,1.0484770484770483,0.6151856390902335,1.252762968495368,1.5040773967762742
2020-02-22,E0 (1),Chelsea,Tottenham,Tottenham,1,2,1,2,1,H,Win,3,5.0,7.0,7.0,0.0,0.2,1.72,4.0,4.5,1.72,4.0,4.5,0.5518087063151441,0.23727774371551194,0.21091354996934394,1.0536175710594315,0.5423242908253617,1.3862943611198906,1.5040773967762742
